Full Program Name,Program,Program Type/Target,Level of Government,Cash to In-Kind Spectrum,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17)
First Nation & Inuit post-secondary student support program,PSSSP,"Education, Training, and Employment",Government of Canada,Cash Geared to Cost,149,The program aims to improve the employability of First Nations and eligible Inuit students by providing them with funding to access education and skills development opportunities at the post-secondary level.,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,
Immigration Loans Program ,Immigation Loans,Financial Supports: Non-Work,Government of Canada,Cash Geared to Cost,150,The Immigration Loans Program provides financial help to refugees selected for resettlement. ,Immigrant or Refugee or New to Canada,Income-tested,"<h6>Programs:</h6><ol><li style=""margin-top: -12px;"">Right of Permanent Residence Fee Loan</li><li>Assistance Loans</li></ol>",,,,,,,,,,,,,,,,
Veterans Clothing Allowance,Veteran Clothing Allowance,Financial Supports: Non-Work,Government of Canada,Cash Geared to Cost,151,"If you buy special clothes to accommodate your disability you may qualify for this allowance. For example, you may wear a brace, splint, or prosthetic that requires specially-made clothes, or that causes extra wear and tear. You can also use the monthly allowance to pay for your damaged clothes to be mended.",Veteran with disability where disability affects clothing,,,,,,,,,,,,,,,,,,
Veteran's Attendance Allowance,Veteran Attendance Allowance,Financial Supports: Non-Work,Government of Canada,Cash Geared to Cost,152,"The attendance allowance helps to cover the cost of hiring a caregiver to assist you in your day-to-day life. The amount you can receive is based on the level of care you need, from occasional to full-time supervision and care.",Veteran and is a person with a disability who needs assistance with daily living activities,,,,,,,,,,,,,,,,,,
Excise Gasoline Tax Refund,Excise Gasoline Refund,Financial Supports: Non-Work,Government of Canada,Bill Refund,153,"Individuals who have a permanent mobility impairment and cannot safely use public transportation, can request a refund of part of the federal excise tax on the gasoline you buy. A qualified medical practitioner must certify the impairment",Persons with a disability who cannot safely use public transit,,,,,,,,,,,,,,,,,,
GST/HST New Housing Rebate,New Housing Rebate,Housing,Government of Canada,Bill Refund,154,"The GST/HST new housing rebate allows an individual to recover some of the goods and services tax (GST) or the federal part of the harmonized sales tax (HST) paid for a new or substantially renovated house that is for use as the individual's, or their relation's, primary place of residence, when all of the other conditions are met. ","House price < $450,000, and newly built or substantially renovated home",,,,,,,,,,,,,,,,,,
Veteran's Independence Program,Veteran Independence,Financial Supports: Non-Work,Government of Canada,Pure In-Kind OR Bill Refund,155,"The Veterans Independence Program provides funding for services such as grounds maintenance, housekeeping, meal preparation, personal care, and professional health and support services.",Low-income veteran,Income-tested,,,,,,,,,,,,,,,,,
Veteran's Independence Program for Survivors,Veteran Independence: Survivors,Financial Supports: Non-Work,Government of Canada,Pure In-Kind OR Bill Refund,156,The Veterans Independence Program for survivors provides annual funding to help cover the cost for services such as grounds maintenance and housekeeping.,Low-income or person with a disability and a survivor of veteran,Income-tested,,,,,,,,,,,,,,,,,
Aboriginal Leadership Opportunities Year,ALOY,"Education, Training, and Employment",Government of Canada,Pure In-Kind,157,"One-year program at RMC designed to provide students of Indigenous heritage with individual, group, and cultural experiences that will help build leadership and life skills.",First nations/aboriginal/inuit,Attend RMC Leadership Program,,,,,,,,,,,,,,,,,
Canada Training Credit,CTC,"Education, Training, and Employment",Government of Canada,Pure In-Kind,158,"To help Canadians with the cost of training fees. Eligible workers between the ages of 25 and 64 accumulate a credit balance at a rate of $250 per year, up to a lifetime limit of $5,000. The credit can be used to refund up to half the costs of taking a course or enrolling in a training program.",,,,,,,,,,,,,,,,,,,
Federal Internship for Newcomers Program,Newcomers Intern.,"Education, Training, and Employment",Government of Canada,Pure In-Kind,159,"The Federal Internship for Newcomers (FIN) Program offers eligible newcomers a chance to gain valuable temporary work experience and training opportunities with Canadian federal, provincial and municipal organizations.",Immigrant or Refugee or New to Canada,,,,,,,,,,,,,,,,,,
Housing Internship for First Nation and Inuit Youth,HIIFNIY,"Education, Training, and Employment",Government of Canada,Pure In-Kind,160,This program provides financial assistance to help First Nations and Inuit businesses and organizations create housing-related internships for youth. These internships can provide much-needed work experience and on-the-job training to youth.,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,
Language Instruction for Newcomers to Canada,LINC,"Education, Training, and Employment",Government of Canada,Pure In-Kind,161,Permanent residents and protected persons can take language classes at no cost. They are funded by the government.,Immigrant or premanent resident ,,,,,,,,,,,,,,,,,,
Skills Link,Skills Link,"Education, Training, and Employment",Government of Canada,Pure In-Kind,162,"The Skills Link program is a component of the Government of Canada's Youth Employment Strategy (YES). Through funding of organizations, the Skills Link program helps youth overcome barriers to employment, develop a broad range of skills and knowledge in order to participate in the current and future labour market and to promote education and skills as being key to labour market participation",Youth,,,,,,,,,,,,,,,,,,
Resettlement Assistance Program,Resettlement Assistance,Financial Supports: Non-Work,Government of Canada,Pure In-Kind,163,"The Government of Canada gives resettlement help to Convention Refugees Abroad. Immediate and essential services are delivered by Service Provider Organizations (SPOs), generally within the first 4-6 weeks of a newcomer’s arrival in Canada. Activities include the following: providing temporary accommodation, providing basic orientation to Canada, life skills training and financial orientation, assisting in finding permanent accommodation, and referring to other settlement programs.",Immigrant or Refugee or New to Canada,Means-tested,,,,,,,,,,,,,,,,,
Right of Permanent Residence Fee Loan,Right of PR loan,Financial Supports: Non-Work,Government of Canada,Pure In-Kind,164,The objective of the RPRF loan is to provide financial assistance to foreign nationals to cover the cost of the RPRF when seeking permanent residence for themselves and/or their family dependants,Immigrant or Refugee or New to Canada,Income-tested,,,,,,,,,,,,,,,,,
War Veteran's Funeral and Burial Assistance,Vet. Funeral Assistance,Financial Supports: Non-Work,Government of Canada,Pure In-Kind,165,"Funeral and burial assistance is provided throughthe Last Post Fund, a non-profit organization, to help pay for funeral and burial services, including a military gravestone, for eligible Veterans.",No available money in estate,Income-tested,,,,,,,,,,,,,,,,,
First Time Home Buyer Incentive,FTHBI,Housing,Government of Canada,Pure In-Kind,166,A means-tested program to be administered by CMHC that helps first-time home buyers by advancing up to 10 percent of the home purchase price for CMHC-insured mortgages so they can take out a smaller mortgage and keep monthly payments lower.  ,"First-time home buyer and income < $120,000",Income-tested,,,,,,,,,,,,,,,,,
Home Buyer's Plan,Home Buyer's Plan,Housing,Government of Canada,Pure In-Kind,167,"The Home Buyers' Plan (HBP) is a program that allows individuals to withdraw up to $25,000 in a calendar year from their registered retirement savings plans (RRSPs) to buy or build a qualifying home for themself or for a related person with a disability",First time home buyer,,,,,,,,,,,,,,,,,,
Indian Residential Schools Resolution Health Support Program,IRS RHSP,Medical/Health,Government of Canada,Pure In-Kind,168,"The Indian Residential Schools Resolution Health Support Program (IRS RHSP) provides mental health, emotional and cultural support services to eligible former Indian Residential School students and their families throughout all phases of the Indian Residential School Settlement Agreement",First nations or Aboriginal or Inuit; and former Indian Residential School students and family members,,,,,,,,,,,,,,,,,,
Non-Insured Health Benefits Program,NIHB,Medical/Health,Government of Canada,Pure In-Kind,169,The Non-Insured Health Benefits Program provides eligible First Nations and Inuit with coverage for a specified range of medically necessary health-related goods and services when not covered through private insurance plans or provincial/territorial health and social programs.,First nations or Aboriginal or Inuit with no other health insurance,Income-tested,,,,,,,,,,,,,,,,,
Western Canada Business Services Network,WBSN,"Education, Training, and Employment",Government of Canada,Services,170,"The Western Canada Business Service Network (WCBSN) is a group of independent organizations that receive WD funds to help Western Canadians start, grow and expand their businesses.",,,,,,,,,,,,,,,,,,,
Work Integrated Learning Opportunities/work placements,Work Placement,"Education, Training, and Employment",Government of Canada,Services,171,"Through Employment and Social Development Canada, creation of 40,000 work-integrated learning opportunities/work placements: $631.2 million over 5 years for 20,000 new work placements per year plus $150 million over 4 years to ESDC create partnerships with business to create a further 20,000",,,,,,,,,,,,,,,,,,,
Housing Supply Challenge,Housing Supply,Housing,Government of Canada,Services,172,Program invites municipalities and other stakeholders to propose new ways to break down barriers in the creation of new housing.  Merit-based competition will fund winners $300 million in funding,,,,,,,,,,,,,,,,,,,
RESP,RESP,"Education, Training, and Employment",Government of Canada,Voluntary Savings,173,Savings account for education.,,,,,,,,,,,,,,,,,,,
RDSP ,RDSP ,Financial Supports: Non-Work,Government of Canada,Voluntary Savings,174,Savings account for persons with a disability.,Must be eligible for the Disability Tax Credit.,,,,,,,,,,,,,,,,,,
RRSP,RRSP,Financial Supports: Non-Work,Government of Canada,Voluntary Savings,175,Savings account for retirement.,,,,,,,,,,,,,,,,,,,
TFSA,TFSA,Financial Supports: Non-Work,Government of Canada,Voluntary Savings,176,Tax free savings account,,,,,,,,,,,,,,,,,,,
Recreation Financial Assistance Programs,Rec. Fee Assist.,Financial Supports: Non-Work,Municipal,Pure In-Kind,177,"Located in municipalities throughout BC, recreation financial assistance programs provide low income residents with access to basic recreation programs and services at a reduced cost.",,,,,,,,,,,,,,,,,,,
