Program,Program Type/Target,Level of Government,Category,Income or Asset Tested,Eligibility Category,Other Eligibility Requirements:,Program Overview,Website Link,Notes,Importance Ranking
Supplementary Health Care Benefits ,Medical/Health,Provincial,Income Support,Income Tested,Low Income,Acute need for additional therapy,"The Supplementary Health Care Benefits program covers the cost of services such as acupuncture, chiropractic, massage therapy, naturopathy, physical therapy, and non surgical podiatry for eligible MSP beneficiaries",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/premiums/regular-premium-assistance,"Acupuncture, chiropractic, massage therapy, naturopathy, podiatry and physical therapy",1
Fair Pharmacare: general,Medical/Health,Provincial,Income Support,Income Tested,Other,,"Fair PharmaCare helps B.C. families pay for eligible prescription drugs, dispensing fees and some medical supplies.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/fair-pharmacare-plan,,2
Fair Pharmacare: Recipients of IA (Plan C),Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,This plan provides 100% coverage of eligible prescription costs for B.C. residents receiving benefits and income assistance through the Ministry of Social Development and Poverty Reduction.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover#plan-c,Referral by SDPR to Health,2
Fair Pharmacare: Residents of Residential Care Facilities (Plan B),Medical/Health,Provincial,Income Support,Neither,Other,Permanent residents of licensed residential care facilities,"Fair PharmaCare helps B.C. families pay for eligible prescription drugs, dispensing fees and some medical supplies.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/fair-pharmacare-plan,,
Fair Pharmacare: Cystic Fibrosis (Plan D),Medical/Health,Provincial,Income Support,Neither,Other,Cystic Fibrosis,This plan provides 100% coverage of eligible prescription costs for B.C. residents receiving benefits and income assistance through the Ministry of Social Development and Poverty Reduction.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover#plan-c,,
Fair Pharmacare: Children in the At Home program (Plan F),Medical/Health,Provincial,Income Support,Neither,Other,Child is in the At Home program,PharmaCare covers the full cost of eligible prescription drugs and designated medical supplies for permanent residents of licensed residential care facilities as long as the facility has asked PharmaCare to add it to the list of Plan B facilities.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover,,
Fair Pharmacare: Psychiatric Medications (Plan G),Medical/Health,Provincial,Income Support,Income Tested,Other,Clinical and financial need,Individuals with cystic fibrosis who are registered with a provincial cystic fibrosis clinic receive coverage of digestive enzymes and other products listed in the Cystic Fibrosis Formulary. The Cystic Fibrosis Clinic arranges Plan D coverage for their patients. You do not need to apply to PharmaCare for this coverage.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover,,
Fair Pharmacare: Pallitive Care drug plan (Plan P),Medical/Health,Provincial,Income Support,Neither,Other,End-of-life care,"The At Home program of the Ministry of Children and Family Development provides community-based, family-style care for severely handicapped children who would otherwise become reliant on institutional care.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover,,
Fair Pharmacare: First Nations Health Benefits (Plan W),Medical/Health,Provincial,Income Support,Neither,First nations/aboriginal/Inuit,,The Psychiatric Medications Plan (Plan G) is available to B.C. residents of any age who demonstrate clinical and financial need. The plan provides coverage of certain psychiatric medications.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover,,
Guide Dog and Service Dog Supplement,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Guide or service dog,"BC Palliative Care benefits are available to BC residents of any age who have reached the end stage of a life-threatening disease or illness and who wish to receive palliative care at home—meaning wherever the person is living, whether in their own home, with family or friends, in a supportive/assisted living residence, or in a hospice unit at a residential care facility",https://www2.gov.bc.ca/gov/content/health/practitioner-professional-resources/pharmacare/prescribers/plan-p-bc-palliative-care-benefits-program,,1
Healthy Kids Program,Medical/Health,Provincial,Income Support,Income Tested,Dependent child(ren) AND Low Income,,,,,2
Life-Threatening Health Needs,Medical/Health,Provincial,Income Support,Income Tested,Low Income,,"Access to certain health supplements to persons who are not otherwise eligible, have no other resources to meet that need  and  face a direct and imminent life-threatening health need and there are no resources available to the family unit. The supplements available to address a specific life-threatening need are medical equipment, medical supplies and medical transportation.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/life-threatening-health-needs-new,*unsure if direct or indirect,1
Medical Equipment - Orthoses,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"The least expensive, appropriate orthoses may be provided to eligible clients to meet a medically essential need. There must be no other resources available to the client to provide the item requested. Orthoses are items that are applied externally to the limb or body to provide support, protection or replacement of lost function.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-orthoses,Up to a maximum amount,1
Medical Equipment - Orthoses,Medical/Health,Provincial,Income Support,Means Tested,Low Income,,"The least expensive, appropriate orthoses may be provided to eligible clients to meet a medically essential need. There must be no other resources available to the client to provide the item requested. Orthoses are items that are applied externally to the limb or body to provide support, protection or replacement of lost function.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-orthoses,Up to a maximum amount,1
Medical Equipment and Devices,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"The least expensive, appropriate medical equipment and devices may be provided to specific recipients to assist with a medically essential need. There must be no other resources available to the client to provide the medical equipment requested. ",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-and-devices,,1
Medical Equipment and Devices,Medical/Health,Provincial,Income Support,Means Tested,Low Income,,"The least expensive, appropriate medical equipment and devices may be provided to specific recipients to assist with a medically essential need. There must be no other resources available to the client to provide the medical equipment requested. ",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-and-devices,,1
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"The least expensive, appropriate hearing instruments and associated repairs and supplies are provided to eligible recipients who lack the financial resources to meet the need.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-hearing-instruments,,1
Medical Equipment- Hearing Instruments,Medical/Health,Provincial,Income Support,Means Tested,Low Income,,"The least expensive, appropriate hearing instruments and associated repairs and supplies are provided to eligible recipients who lack the financial resources to meet the need.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-equipment-hearing-instruments,,1
Medical Services Only Category,Medical/Health,Provincial,Income Support,Means Tested,Low Income,Former DA or IA recipient with either PWD or PPMB designation,Continued access to specific health supplements to certain categories of former recipients of assistance. One of the major goals of MSO is to assist persons with the Persons with Disabilities designation to obtain and maintain employment by allowing them to retain access to health supplements as they move from disability assistance into financial independence.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-services-only,,1
Medical Services Plan: Regular Premium Assistance,Medical/Health,Provincial,Income Support,Income Tested,Low Income,,"In B.C., residents pay monthly MSP rates (premiums), which help meet a portion of the costs of B.C.’s health-care system. MSP offers rates that are affordable for most B.C. residents. Assistance is available for those who have financial need and cannot afford to pay their premiums.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/premiums/regular-premium-assistance,*Premiums eliminated as of Jan. 2020,2
Medical Services Plan: Premium Free Medical Coverage,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,Premium-free medical coverage through the Medical Services Plan (MSP) ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-services-plan-and-medical-coverage,*Premiums eliminated as of Jan. 2020. Requires referral from SDPR.,2
Medical Services Plan: Temporary Premium Assistance,Medical/Health,Provincial,Income Support,Income Tested,Other,Temporary financial hardship,"In B.C., residents pay monthly MSP rates (premiums), which help meet a portion of the costs of B.C.’s health-care system. Temporary Premium Assistance helps pay your monthly premium if you’ve recently had an unexpected change to your financial situation (e.g., illness, disability, loss of job).",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/premiums/regular-premium-assistance,*Premiums eliminated as of Jan. 2020,1
Medical Supplies,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Supplies are necessary to avoid an imminent and substantial danger to health,Medical or surgical supplies to avoid an imminent or substantial danger to health ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-supplies,,1
Medical Supplies,Medical/Health,Provincial,Income Support,Means Tested,Low Income,Supplies are necessary to avoid an imminent and substantial danger to health,Medical or surgical supplies to avoid an imminent or substantial danger to health ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-supplies,,1
Medical Transportation Supplement,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,Medical transportation supplements to meet extraordinary transportation costs associated with essential medical treatment,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-transportation,,1
Medical Transportation Supplement,Medical/Health,Provincial,Income Support,Means Tested,Low Income,,Medical transportation supplements to meet extraordinary transportation costs associated with essential medical treatment,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-transportation,,1
Monthly Nutritional Supplement,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Disability","Nutritional items will alleviate a severe medical condition causing a chronic, progressive deterioration of health","A monthly nutritional supplement is provided to recipients eligible for the Person with Disabilities designation who are in receipt of disability assistance and who have a severe medical condition causing a chronic, progressive deterioration of health with symptoms of wasting.  This supplement is intended to prevent imminent danger to the person’s life by providing essential, specified items to supplement regular nutritional needs.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/monthly-nutritional-supplement,,1
Natal Supplement,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Pregnant OR dependent child under 7 months,A natal supplement is provided to pregnant recipients and to family units with a child under the age of seven months. This supplement is intended to assist in meeting extra costs associated with prenatal and postnatal expenses.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/natal-supplement,,1
Nutritional Supplement: Short-Term,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"Nutritional supplements may be provided to eligible recipients of income assistance or disability assistance who need additional calories above a regular diet to recover from surgery, severe injury, serious disease, or the side effects of medical treatment.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/nutritional-supplements,Up to 3 months,1
Optical Services,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"Specified optical services, including eye exams, are provided to recipients of income assistance, disability assistance, and hardship assistance.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/optical-services,Up to a maximum amount,1
Dental: Orthodontic Services,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Children of IA or DA recipients only,,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/dental-and-orthodontic-services,,1
Dental: Orthodontic Services,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Disability",Children of IA or DA recipients only,,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/dental-and-orthodontic-services,,1
Supplement for Alcohol and Drug Treatment,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"Alcohol and drug treatment supplement to provide payment for alcohol and drug counselling services (including a methadone program). Primarily used for coverage of private clinic fees for OAT/OST services, such as methadone substance treatment. ",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/supplement-for-alcohol-and-drug-treatment,,1
Transitional Health Services ,Medical/Health,Provincial,Income Support,Means Tested,Dependent child(ren) AND Low Income,Formerly on IA AND employed,THS provides continued access to certain health supplements for up to one year. Intent of THS is to assist families with children to obtain and maintain employment by allowing them to retain their premium-assisted Medical Services Plan coverage as well as other health supplements while they move from income assistance into financial independence.  ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/transitional-health-services,,1
Tube Feed Supplement,Medical/Health,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Primary source of nutrition must be obtained through tube feeding,"The tube feed supplement is intended to provide liquid nutritional product, equipment and supplies to recipients of income assistance or disability assistancewho are unable to take food orally or process it through the gastrointestinal system.  The supplement includes nutritional products, as well as related medical equipment or medical supplies (such as pumps, tubes and bags).",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/tube-feed-supplement,,1
Child Care Operating Funding,Children and Family,Provincial,Market Supports,Neither,Other,Licensed child care provider,Assists with the day-to-day costs of running a licensed child care facility. ,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/running-daycare-preschool/child-care-operating-funding,Assists with the day-to-day costs of running a licensed child care facility. Applied for by child care providers.,1
Housing Internship for First Nation and Inuit Youth,"Education, Training, and Employment",Federal,Market Supports,Neither,First nations/aboriginal/Inuit,,This program provides financial assistance to help First Nations and Inuit businesses and organizations create housing-related internships for youth. These internships can provide much-needed work experience and on-the-job training to youth.,https://www.cmhc-schl.gc.ca/en/developing-and-renovating/developing-for-first-nations/housing-internship-initiative-first-nation-inuit-youth,,1
Western Canada Business Services Network,"Education, Training, and Employment",Federal,Market Supports,Neither,Other,,"The Western Canada Business Service Network (WCBSN) is a group of independent organizations that receive WD funds to help Western Canadians start, grow and expand their businesses.",https://www.wd-deo.gc.ca/eng/19541.asp,,1
Work Integrated Learning Opportunities/work placements,"Education, Training, and Employment",Federal,Market Supports,Neither,Other,,"Through Employment and Social Development Canada, creation of 40,000 work-integrated learning opportunities/work placements: $631.2 million over 5 years for 20,000 new work placements per year plus $150 million over 4 years to ESDC create partnerships with business to create a further 20,000",https://www.canada.ca/en/employment-social-development/programs.html,,1
Aboriginal Community-Based Training Partnerships Program,"Education, Training, and Employment",Provincial,Market Supports,Neither,First nations/aboriginal/Inuit,,"Through the Aboriginal Community-Based Training Partnerships (ACBTP) program, the Ministry funds partnerships between public Post-Secondary institutions (PSIs) and Indigenous communities to deliver education and training programs within communities",https://bcafn.ca/resource/aboriginal-community-based-training-partnership-program-acbtp/,Applications not currently being accepted. There is no set date for a future ACBTP procurement process.,1
BC Employer Training Grant (WDA),"Education, Training, and Employment",Provincial,Market Supports,Neither,Other,,Provides up to $8M (in WDA funding) a year to employers to support skills training for their current and new employees. ,https://www.workbc.ca/Employer-Resources/BC-Employer-Training-Grant.aspx,,1
Community Workforce Response Grant (WDA),"Education, Training, and Employment",Provincial,Market Supports,Neither,Other,,Provides up to $10M a year to communities and industries to support in-demand skills training leading to secure and sustainable employment for unemployed or underemployed British Columbians. ,https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant.aspx,,1
Indigenous Skills Training Development Fund,"Education, Training, and Employment",Provincial,Market Supports,Neither,First nations/aboriginal/Inuit,,The ISTDF supports Indigenous community members (on and off reserve) in British Columbia’s North and Lower Mainland to acquire the skills needed to respond to emerging resource-based opportunities,,,1
Sector Labour Market Partnership Program,"Education, Training, and Employment",Provincial,Market Supports,Neither,Other,,"Assists industry and employers understand and respond to changing labour market demands. The Program provides funding for partnership-led projects that address broader sector and regional labour market issues within B.C.’s diverse economy; five types of projects funded – engagement and planning, research, strategy development, strategy implementation, and evaluation  ",,,1
WorkBC: The Community and Employer Partnerships Program (LMDA),"Education, Training, and Employment",Provincial,Market Supports,Neither,Other,,Community and Employer Partnerships foster networks of community organizations and employers across B.C. The purpose of these partnerships is to work together to address labour market issues and increase employment opportunities for unemployed British Columbians.,https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships.aspx,Part of the LMDA ,1
RESP,"Education, Training, and Employment",Voluntary Savings,Market Supports,Neither,Dependent child(ren),,,,,1
Federal Internship for Newcomers Program,"Education, Training, and Employment",Federal,Market Supports,Neither,Immigrant/Refugee/New to Canada,Lived in Canada for less than 10 years,"The Federal Internship for Newcomers (FIN) Program offers eligible newcomers a chance to gain valuable temporary work experience and training opportunities with Canadian federal, provincial and municipal organizations.",https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/prepare-life-canada/prepare-work/federal-internship.html,Only available in Victoria,1
Minimum Wage Regulation,Financial Supports: Non-Work,Regulation,Market Supports,Neither,Low Income,,,,,1
RDSP ,Financial Supports: Non-Work,Voluntary Savings,Market Supports,Neither,Disability,,,,,1
RRSP,Financial Supports: Non-Work,Voluntary Savings,Market Supports,Neither,Other,Bank Account,,,,1
TFSA,Financial Supports: Non-Work,Voluntary Savings,Market Supports,Neither,Other,Bank Account,,,,1
Home Buyer's Plan,Housing,Federal,Market Supports,Neither,Other,First Home,"The Home Buyers' Plan (HBP) is a program that allows individuals to withdraw up to $25,000 in a calendar year from your registered retirement savings plans (RRSPs) to buy or build a qualifying home for yourself or for a related person with a disability",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans/what-home-buyers-plan.html,Tax-free withdrawal from RRSP for down-payment,1
Housing Supply Challenge,Housing,Federal,Market Supports,Neither,Other,,Program invites municipalities and other stakeholders to propose new ways to break down barriers in the creation of new housing.  Merit-based competition will fund winners $300 million in funding,,,1
