Full Program Name,Program,Age,Program Type/Target,Level of Government,Application Method,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),ExpendituresTotal
CPP: Survivor's Pension,CPP: Survivor's ,Senior,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,121,"The Canada Pension Plan (CPP) survivor's pension is paid to the person who, at the time of death, is the legal spouse or common-law partner of the deceased contributor.",Spouse/common law of deceased contributor,,,,,,,,,,,,,,,"185,127",$740.5M,,,740500000
Employment Insurance (EI): regular benefits,EI: regular benefits,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,122,"Employment Insurance (EI) provides regular benefits to individuals who lose their jobs through no fault of their own (for example, due to shortage of work, seasonal or mass lay-offs) and are available for and able to work, but can't find a job.","Employed in insurable employment, have worked the required amount of insurable employment hours, and lost job through no fault of own ",Income-tested,,,,,,,,,,,,,,,$985M,,,985000000
Employment Insurance: caregiving benefits (adult and/or child(ren)),EI: caregiving,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,123,"Through Employment Insurance, you could receive financial assistance of up to 55% of your earnings, to a maximum of $562 a week. These benefits will help you take time away from work to provide care or support to a critically ill or injured person or someone needing end-of-life care.","Family member is critically ill, have worked at least 600 insurable employment hours in the last 52 weeks, and employment earnings have decreased by more than 40% because of caregiving",Income-tested,,,,,,,,,,,,,,,$17M,,,17000000
Employment Insurance: family supplement,EI: family supp.,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,124,"If it is determined that your net family income is $25,921 or less per year, that you have children, and that you or your spouse receives the Canada Child Benefit, you are considered a member of a low-income family and may be eligible to receive the EI Family Supplement","Eligible for EI: regular benefit AND have dependent child(ren) AND net family income does not exceed $25,921/year",Income-tested,,,,,,,,,,,,,,,Included in EI: regular benefit,,,
Employment Insurance: maternity and parental,EI: maternity & parental,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,125,"Employment Insurance maternity and parental benefits provide financial assistance to people who are away from work because they're pregnant or have recently given birth, or parents who are away from work to care for their newborn or newly adopted child","(Pregnant, or recently gave birth, or are a parent of a newborn, or recently adopted a child) AND worked 600 insurable employment hours in the last 52 weeks AND earnings from work have decreased by more than 40% because of child",Income-tested,,,,,,,,,,,,,,,$620M (includes regular and extended benefit),,,620000000
Employment Insurance: sickness,EI: sickness,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,126,"The Employment Insurance (EI) program offers temporary financial assistance to unemployed workers. This assistance includes providing sickness benefits to people unable to work because of sickness, injury, or quarantine.","Unable to work because of short-term sickness or injury, AND have worked at least 600 insurable employment hours in the last 52 weeks",Income-tested,,,,,,,,,,,,,,,$237.7M,,,237700000
Excise Gasoline Tax Refund,Excise Gasoline Refund,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,127,"Individuals who have a permanent mobility impairment and cannot safely use public transportation, can request a refund of part of the federal excise tax on the gasoline you buy. A qualified medical practitioner must certify the impairment",Persons with a disability who cannot safely use public transit,,,,,,,,,,,,,,,,,,,
Federal Worker's Comp.,Federal Worker's Comp.,Working-Age,Financial Supports: Work-Related,Government of Canada,Self Initiated - Form,128,The Government Employees Compensation Act (GECA) provides compensation to federal government employees who are injured while on the job or become ill because of their work,"Injured at work, and federal employee.",,,,,,,,,,,,,,,,,,,
First Time Home Buyer Incentive,FTHBI,Working-Age,Housing,Government of Canada,Self Initiated - Form,129,A means-tested program to be administered by CMHC that helps first-time home buyers by advancing up to 10 percent of the home purchase price for CMHC-insured mortgages so they can take out a smaller mortgage and keep monthly payments lower.  ,"First-time home buyer and income < $120,000",Income-tested,,,,,,,,,,,,,,,,,,
GST/HST New Housing Rebate,New Housing Rebate,Working-Age,Housing,Government of Canada,Self Initiated - Form,130,"The GST/HST new housing rebate allows an individual to recover some of the goods and services tax (GST) or the federal part of the harmonized sales tax (HST) paid for a new or substantially renovated house that is for use as the individual's, or their relation's, primary place of residence, when all of the other conditions are met. ","House price < $450,000, and newly built or substantially renovated home",,,,,,,,,,,,,,,,,,,
Home Buyer's Plan,Home Buyer's Plan,Working-Age,Housing,Government of Canada,Self Initiated - Form,131,"The Home Buyers' Plan (HBP) is a program that allows individuals to withdraw up to $25,000 in a calendar year from their registered retirement savings plans (RRSPs) to buy or build a qualifying home for themself or for a related person with a disability",First time home buyer,,,,,,,,,,,,,,,,,,,
Immigration Loans Program ,Immigation Loans,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,132,The Immigration Loans Program provides financial help to refugees selected for resettlement. ,Immigrant or Refugee or New to Canada,Income-tested,"<h6>Programs:</h6><ol><li style=""margin-top: -12px;"">Right of Permanent Residence Fee Loan</li><li>Assistance Loans</li></ol>",,,,,,,,,,,,,,,,,
Right of Permanent Residence Fee Loan,Right of PR loan,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,133,The objective of the RPRF loan is to provide financial assistance to foreign nationals to cover the cost of the RPRF when seeking permanent residence for themselves and/or their family dependants,Immigrant or Refugee or New to Canada,Income-tested,,,,,,,,,,,,,,,,,,
Veteran's Detention Benefit,Veteran Detention Benefit,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,134,"The Detention Benefit is a tax-free lump-sum payment for Veterans or CAF members who were detained by an enemy, opposing force or terrorist group while serving in the Canadian Armed Forces.","Detained or evaded capture by an enemy, opposing force, or terroist group (after Apr. 2006)",,,,,,,,,,,,,,,,,,,
Veteran's Independence Program,Veteran Independence,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,135,"The Veterans Independence Program provides funding for services such as grounds maintenance, housekeeping, meal preparation, personal care, and professional health and support services.",Low-income veteran,Income-tested,,,,,,,,,,,,,,,,,,
Veteran's Independence Program for Survivors,Veteran Independence: Survivors,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,136,The Veterans Independence Program for survivors provides annual funding to help cover the cost for services such as grounds maintenance and housekeeping.,Low-income or person with a disability and a survivor of veteran,Income-tested,,,,,,,,,,,,,,,,,,
War Veteran's Funeral and Burial Assistance,Vet. Funeral Assistance,Senior,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,137,"Funeral and burial assistance is provided throughthe Last Post Fund, a non-profit organization, to help pay for funeral and burial services, including a military gravestone, for eligible Veterans.",No available money in estate,Income-tested,,,,,,,,,,,,,,,,,,
War Veteran's Prisoner of War Compensation,War Vet POW Comp.,Senior,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,138,"Prisoner of War Compensation is a tax-free benefit for Veterans of the Second World War and the Korean War, who were detained or evaded capture for more than 30 days.",Detained/POW during WWII or Korean war,,,,,,,,,,,,,,,,,,,
War Veterans Allowance,War Vet Allowance,Senior,Financial Supports: Non-Work,Government of Canada,Self Initiated - Form,139," The War Veterans Allowance (WVA) is a tax-free, monthly benefit to help low-income war Veterans and their dependents or their survivors.",Low-income veteran of WWII or Korean war,Income-tested,,,,,,,,,,,,,,,,,,
Education and Training Benefit (Veterans),Vet. Education & Training,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,140,Helps in financing veteran's education,Veteran or Canadian Armed Forces,,,,,,,,,,,,,,,,,,,
Federal Internship for Newcomers Program,Newcomers Intern.,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,141,"The Federal Internship for Newcomers (FIN) Program offers eligible newcomers a chance to gain valuable temporary work experience and training opportunities with Canadian federal, provincial and municipal organizations.",Immigrant or Refugee or New to Canada,,,,,,,,,,,,,,,,,,,
First Nation & Inuit post-secondary student support program,PSSSP,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,142,The program aims to improve the employability of First Nations and eligible Inuit students by providing them with funding to access education and skills development opportunities at the post-secondary level.,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,
Housing Internship for First Nation and Inuit Youth,HIIFNIY,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,143,This program provides financial assistance to help First Nations and Inuit businesses and organizations create housing-related internships for youth. These internships can provide much-needed work experience and on-the-job training to youth.,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,
Language Instruction for Newcomers to Canada,LINC,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,144,Permanent residents and protected persons can take language classes at no cost. They are funded by the government.,Immigrant or premanent resident ,,,,,,,,,,,,,,,,,,,
Skills Link,Skills Link,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,145,"The Skills Link program is a component of the Government of Canada's Youth Employment Strategy (YES). Through funding of organizations, the Skills Link program helps youth overcome barriers to employment, develop a broad range of skills and knowledge in order to participate in the current and future labour market and to promote education and skills as being key to labour market participation",Youth,,,,,,,,,,,,,,,,,,,
Work Integrated Learning Opportunities/work placements,Work Placement,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Third Party Provider,146,"Through Employment and Social Development Canada, creation of 40,000 work-integrated learning opportunities/work placements: $631.2 million over 5 years for 20,000 new work placements per year plus $150 million over 4 years to ESDC create partnerships with business to create a further 20,000",,,,,,,,,,,,,,,,,,,,
Indian Residential Schools Resolution Health Support Program,IRS RHSP,Working-Age,Medical/Health,Government of Canada,Self Initiated - Contact Administrator,147,"The Indian Residential Schools Resolution Health Support Program (IRS RHSP) provides mental health, emotional and cultural support services to eligible former Indian Residential School students and their families throughout all phases of the Indian Residential School Settlement Agreement",First nations or Aboriginal or Inuit; and former Indian Residential School students and family members,,,,,,,,,,,,,,,,,,,
Non-Insured Health Benefits Program,NIHB,Working-Age,Medical/Health,Government of Canada,Self Initiated - Contact Administrator,148,The Non-Insured Health Benefits Program provides eligible First Nations and Inuit with coverage for a specified range of medically necessary health-related goods and services when not covered through private insurance plans or provincial/territorial health and social programs.,First nations or Aboriginal or Inuit with no other health insurance,Income-tested,,,,,,,,,,,,,,,,,,
RDSP ,RDSP ,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Contact Administrator,149,Savings account for persons with a disability.,Must be eligible for the Disability Tax Credit.,,,,,,,,,,,,,,,,,,,
RESP,RESP,Working-Age,"Education, Training, and Employment",Government of Canada,Self Initiated - Contact Administrator,150,Savings account for education.,,,,,,,,,,,,,,,,,,,,
RRSP,RRSP,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Contact Administrator,151,Savings account for retirement.,,,,,,,,,,,,,,,,,,,,
TFSA,TFSA,Working-Age,Financial Supports: Non-Work,Government of Canada,Self Initiated - Contact Administrator,152,Tax free savings account,,,,,,,,,,,,,,,,,,,,
Canada Education Savings Grant ,Ed. Savings Grant ,Working-Age,"Education, Training, and Employment",Government of Canada,Automatic with Other Self Initiated Application,153,The Canada Education Savings Grant (CESG) is money that the Government adds to a Registered Education Savings Plan (RESP). This money helps to pay the costs of a child’s full- or part-time studies after high school ,Dependent child(ren) and an RESP account,,,,,,,,,,,,,,,,,,,
Canada Education Savings Grant addition,Ed. Savings Grant addition,Working-Age,"Education, Training, and Employment",Government of Canada,Automatic with Other Self Initiated Application,154,The Additional amount of CESG is available to eligible children from middle- and low-income families. ,Dependent child(ren) and an RESP account,Income-tested,,,,,,,,,,,,,,,,,,
Canada Learning Bond,Learning Bond,Working-Age,"Education, Training, and Employment",Government of Canada,Automatic with Other Self Initiated Application,155,The Canada Learning Bond (CLB) is money that the Government adds to a Registered Education Savings Plan (RESP) for children from low-income families. This money helps to pay the costs of a child’s full- or part-time studies after high school ,Dependent child(ren) and low-income and an RESP account,Income-tested,,,,,,,,,,,,,,,,,,
Disability Savings Bonds,Disability Savings Bonds,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic with Other Self Initiated Application,156,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Bond is a government contribution to the Registered Disability Savings Plans (RDSPs) of low and modest income Canadians.,Persons with disabilities who qualify for the Disability Credit AND Low Income AND an RDSP ,Income-tested,,,,,,,,,,,,,,,,,,
Disability Savings Grant,Disability Savings Grant,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic with Other Self Initiated Application,157,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Grant is a matching grant of up to 300% depending on the beneficiary's family income and contribution,Persons with disabilities who qualify for the Disability Credit AND an RDSP,Income-tested,,,,,,,,,,,,,,,,,,
Veteran Exceptional Incapacity Allowance,Veteran Incapacity Allowance,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic with Other Self Initiated Application,158,The Exceptional Incapacity Allowance is a tax-free monthly payment that recognizes that your serious illness or injury has a significant effect on your quality of life.,Veteran and is a person with a disability,,,,,,,,,,,,,,,,,,,
Veteran's Attendance Allowance,Veteran Attendance Allowance,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic with Other Self Initiated Application,159,"The attendance allowance helps to cover the cost of hiring a caregiver to assist you in your day-to-day life. The amount you can receive is based on the level of care you need, from occasional to full-time supervision and care.",Veteran and is a person with a disability who needs assistance with daily living activities,,,,,,,,,,,,,,,,,,,
Veterans Clothing Allowance,Veteran Clothing Allowance,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic with Other Self Initiated Application,160,"If you buy special clothes to accommodate your disability you may qualify for this allowance. For example, you may wear a brace, splint, or prosthetic that requires specially-made clothes, or that causes extra wear and tear. You can also use the monthly allowance to pay for your damaged clothes to be mended.",Veteran with disability where disability affects clothing,,,,,,,,,,,,,,,,,,,
Resettlement Assistance Program,Resettlement Assistance,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic,161,"The Government of Canada gives resettlement help to Convention Refugees Abroad. Immediate and essential services are delivered by Service Provider Organizations (SPOs), generally within the first 4-6 weeks of a newcomer’s arrival in Canada. Activities include the following: providing temporary accommodation, providing basic orientation to Canada, life skills training and financial orientation, assisting in finding permanent accommodation, and referring to other settlement programs.",Immigrant or Refugee or New to Canada,Means-tested,,,,,,,,,,,,,,,,,,
War Veterans Death Benefit,War Vet Death Benefit,Senior,Financial Supports: Non-Work,Government of Canada,Automatic,162,The Death Benefit is paid to a spouse or common-law partner and the dependent children of a Canadian Armed Forces member who died as a result of a service-related injury or illness.,Survivor of veteran or WWII or Korean war,,,,,,,,,,,,,,,,,,,
Canada Child Benefit,CCB,Working-Age,Children and Family,Government of Canada,Automatic with tax filing,163,The Canada child benefit (CCB) is a tax free monthly payment made to eligible families to help them with the cost of raising children under 18 years of age.,Dependent child(ren),"Income-tested, must file taxes",,,,,"$2,689M",,,,,,,,"442,610",,,,,2689000000
Canada Training Credit,CTC,Working-Age,"Education, Training, and Employment",Government of Canada,Automatic with tax filing,164,"To help Canadians with the cost of training fees. Eligible workers between the ages of 25 and 64 accumulate a credit balance at a rate of $250 per year, up to a lifetime limit of $5,000. The credit can be used to refund up to half the costs of taking a course or enrolling in a training program.",,,,,,,,,,,,,,,,,,,,
Child Disability Benefit,Child Dis. Benefit,Working-Age,Children and Family,Government of Canada,Automatic with tax filing,165,The child disability benefit is a tax-free monthly payment made to families who care for a child under age 18 with a severe and prolonged impairment in physical or mental functions.,"Dependent child(ren) with a disability, and eligible for the Disability Tax Credit and the Canada Child Benefit",Income-tested,,,,,,,,,,,,,,,,,,
CWB: Disability Supplement,CWB: Disability Supp.,Working-Age,Financial Supports: Work-Related,Government of Canada,Automatic with tax filing,166,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians. The CWB: Disability tops up the CWB for persons with disabilities,"Employed, earning at least $1,150/year, low-income, and eligible for the Disability Tax Credit",Income-tested,,,,,,,,,,,,,,,,,,
CWB: general,CWB: general,Working-Age,Financial Supports: Work-Related,Government of Canada,Automatic with tax filing,167,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians,"Employed, earning at least $3,000/year, low-income",Income-tested,,,,,,,,,,,,,,,,,,
GST/HST Credit,GST/HST Cred.,Working-Age,Financial Supports: Non-Work,Government of Canada,Automatic with tax filing,168,The GST/HST credit is a tax-free quarterly payment that helps individuals and families with low and modest incomes offset all or part of the GST or HST that they pay,Low Income,"Must file taxes, income-tested",,,,,$573M,,,,,,,,"1,401,770",,,,,573000000
Guaranteed Income Supplement,GIS,Senior,Financial Supports: Non-Work,Government of Canada,Automatic with tax filing,169,The Guaranteed Income Supplement (GIS) provides a monthly non-taxable benefit to Old Age Security (OAS) pension recipients who have a low income and are living in Canada,Low income senior,Income-tested,,,,,,,,,,,,,,"268,909","$1,730M",,,1730000000
Old Age Security Pension,OAS,Senior,Financial Supports: Non-Work,Government of Canada,Automatic with tax filing,170,The Old Age Security (OAS) pension is a monthly payment available to seniors aged 65 and older who meet the Canadian legal status and residence requirements,Senior,Income-tested,,,,,,,,,,,,,,"866,474","$5,646M",,,5646000000
Disability Tax Credit,DTC,Working-Age,Financial Supports: Non-Work,Government of Canada,Tax filing,171,The disability tax credit (DTC) is a non-refundable tax credit that helps persons with disabilities or their supporting persons reduce the amount of income tax they may have to pay.,Person with disabilities,Must file taxes,,,,,,,,,,,,,,,,$68M,,68000000
Medical Expenses Tax Credit,Med Expense Cred.,Working-Age,Medical/Health,Government of Canada,Tax filing,172,The medical expense tax credit is a non-refundable tax credit for healthcare expenses paid.,Eligible medical expense,"Must file taxes, income-tested",,,,,,,,,,,,,,,,$84.6M,,84600000
Basic Personal Tax Credit,Basic Person. Tax Cred.,Working-Age,Financial Supports: Non-Work,Government of Canada,Tax filing ,173,"The basic personal tax credit is a non-refundable tax credit every Canadian resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any federal income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. In 2019, it is $12,069 x 15% = $1,810.",,Must file taxes,,,,,,,,,,,,,,,,,,
Housing Supply Challenge,Housing Supply,Working-Age,Housing,Government of Canada,Third Party,174,Program invites municipalities and other stakeholders to propose new ways to break down barriers in the creation of new housing.  Merit-based competition will fund winners $300 million in funding,,,,,,,,,,,,,,,,,,,,
Western Canada Business Services Network,WBSN,Working-Age,"Education, Training, and Employment",Government of Canada,Third Party,175,"The Western Canada Business Service Network (WCBSN) is a group of independent organizations that receive WD funds to help Western Canadians start, grow and expand their businesses.",,,,,,,,,,,,,,,,,,,,
Recreation Financial Assistance Programs,Rec. Fee Assist.,Working-Age,Financial Supports: Non-Work,Municipal,Self Initiated - Contact Administrator,176,"Located in municipalities throughout BC, recreation financial assistance programs provide low income residents with access to basic recreation programs and services at a reduced cost.",,,,,,,,,,,,,,,,,,,,
